filename,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10,label
n_600000387.wav,1.860382305520777e-10,1.2501766236123466e-10,7.53768735496229e-10,3.231261762080894e-09,1.0899898550240235e-08,3.148716479221686e-08,7.977443064844864e-08,1.7774474650700132e-07,3.483679023592719e-07,6.027338363274253e-07,9.270603000637414e-07,1.2788875132657935e-06,1.5969494494368998e-06,1.8208089941823582e-06,1.91069869683245e-06,1.8585727642559322e-06,1.6868254318718804e-06,1.437348678420309e-06,1.1570708526469892e-06,8.858668825908832e-07,1.3480555935529992e-05,1.5541943412245018e-06,6.804211416522321e-09,1.2880992938946179e-09,5.125753599344307e-09,1.6734043484234462e-08,1.5261234054264605e-08,1.0872062139455352e-09,5.138290915798413e-14,3.3870346695922702e-15,0
n_600000393.wav,4.7113925925786716e-11,5.317338032919247e-11,3.1412161352835403e-10,1.3739238468688486e-09,4.814787572141326e-09,1.4312896555469086e-08,3.663295464935889e-08,8.130433954376718e-08,1.577049107406919e-07,2.6985823598107444e-07,4.1156147283119603e-07,5.651922000932244e-07,7.056947629157386e-07,8.082172519768261e-07,8.55851964354866e-07,8.441257380396222e-07,7.808329039802741e-07,6.820772447863902e-07,5.66737559744134e-07,4.5159547926249605e-07,7.047218332445482e-06,7.728316404609359e-07,2.9029900705523914e-09,5.79683634427397e-10,1.933089022188028e-09,3.896633238298364e-09,2.338798044121404e-09,1.8491229381023544e-10,1.6857385441975542e-14,5.161209313892377e-17,0
n_600000344.wav,1.0233106358909917e-10,6.798558067448833e-11,6.034720845552113e-10,3.2012487214560666e-09,1.069673678593588e-08,2.6062624419027453e-08,5.284513902549991e-08,9.73820542682885e-08,1.6801851328349578e-07,2.697228795721477e-07,3.977994797010719e-07,5.356030615513191e-07,6.585485781995558e-07,7.424955288179076e-07,7.720314917576348e-07,7.448094116869075e-07,6.706987650884497e-07,5.670922026890698e-07,4.529773224167953e-07,3.441383692750995e-07,5.9609974414343014e-06,7.782543320900004e-07,3.916156288141792e-09,5.317396523096818e-10,2.658294029345143e-09,9.568495329403959e-09,9.328941175112959e-09,6.290756804361308e-10,1.416985408539016e-14,1.7641168427355114e-16,0
n_600000422.wav,1.80392689624785e-11,3.3582263462241034e-11,2.2795765687298039e-10,1.1381439093747735e-09,4.2933284764596735e-09,1.3277218520888033e-08,3.483568143421823e-08,7.863599822221815e-08,1.543184408839173e-07,2.6618889818801416e-07,4.0823740831870634e-07,5.628936616658971e-07,7.050267401090114e-07,8.095974538397705e-07,8.593929608991858e-07,8.495389869730491e-07,7.874269196432173e-07,6.888952296291575e-07,5.727982708987371e-07,4.561362228164926e-07,7.0460782808368094e-06,7.505398684770626e-07,1.963018858575083e-09,3.3491701079135794e-10,8.741997681305236e-10,1.3397616349664077e-09,4.1646669446393503e-10,1.8662070153108168e-11,1.0875174594410578e-15,4.3640874521827915e-18,0
n_600000436.wav,1.0715766299315288e-10,1.1121459634021535e-10,7.016726310808663e-10,2.954456030408716e-09,9.377380412149969e-09,2.5883753766375856e-08,6.444064224488715e-08,1.4340549287148996e-07,2.824428259769966e-07,4.921475924855364e-07,7.633856415755036e-07,1.063320036492605e-06,1.342106811244803e-06,1.5481629430346026e-06,1.6448945137631718e-06,1.6212487157665246e-06,1.492295206139514e-06,1.2912146298180098e-06,1.0574355816638765e-06,8.259881153813394e-07,1.165884987130994e-05,1.3381543340074131e-06,6.019494680487014e-09,1.12867237778147e-09,3.806421400298632e-09,9.053759519872528e-09,5.6776126022839435e-09,4.797442998416557e-10,5.21376189021195e-14,3.947485665846103e-15,0
n_600000350.wav,1.6317789501766483e-10,1.28026971299898e-10,9.197208107054768e-10,4.181026214972113e-09,1.2724797480579933e-08,2.990590583719241e-08,6.147215464290334e-08,1.1801104113863398e-07,2.1254353518363434e-07,3.52982253081119e-07,5.339239555556111e-07,7.334372841146043e-07,9.178322371287741e-07,1.0523825841804472e-06,1.1127165879777071e-06,1.091817279589691e-06,1.0002894998349762e-06,8.608816249227621e-07,7.004331840665743e-07,5.426536655287536e-07,8.629919648228679e-06,1.1064241789426887e-06,6.794065310344877e-09,1.1722163240079908e-09,4.498109440476128e-09,1.5229726813004163e-08,1.2822462203132545e-08,9.481908591624233e-10,6.936791906945322e-14,1.6085059106603176e-14,0
n_600000378.wav,1.4740235546285778e-10,9.731402464995858e-11,5.715937966866945e-10,2.46133278810773e-09,8.374799856565763e-09,2.4733268553648177e-08,6.444080454002762e-08,1.4725977375736478e-07,2.9433199389550043e-07,5.168467773053568e-07,8.042497925933084e-07,1.1198677862543923e-06,1.4086432591977435e-06,1.614588909532321e-06,1.6996432681846615e-06,1.6550217010643568e-06,1.5008337988840234e-06,1.2759787719769169e-06,1.0242333131250116e-06,7.825209812509196e-07,1.2997016710869502e-05,1.4134085404293728e-06,5.150718518365238e-09,1.1469281080422888e-09,4.641681705663814e-09,1.2984338937371831e-08,1.1100604879743514e-08,8.412962548831615e-10,4.6518795353322e-14,2.5743321794484235e-15,0
n_600000185.wav,2.4903120449095135e-10,1.7630847727358666e-10,8.54980615063104e-10,2.718201769207625e-09,6.3650734622924404e-09,1.2613113948218957e-08,2.272154079011164e-08,3.829571635138572e-08,6.070975886216932e-08,9.002518298387362e-08,1.2398761679696035e-07,1.5796575512707316e-07,1.861640676143354e-07,2.0355213452310826e-07,2.075055285314096e-07,1.9842499051246178e-07,1.7923093058385754e-07,1.5415364282753106e-07,1.2742693203208708e-07,1.0235550981483618e-07,2.5378717509738635e-06,3.865057180973963e-07,8.552811792128523e-09,1.8605266216553673e-09,6.450752820796879e-09,2.3466123266757677e-08,2.012270883255951e-08,1.4145697946332803e-09,6.378221789702515e-14,1.8458860947409913e-16,0
n_600000191.wav,5.781236968668825e-11,8.996871415517737e-11,4.421287861005222e-10,1.3832612485233563e-09,3.207312157664159e-09,6.366151796962301e-09,1.1601607015715587e-08,1.9886700068685837e-08,3.2195562864911985e-08,4.888708030194241e-08,6.894104452533307e-08,8.974022082563114e-08,1.0775025231713366e-07,1.197564979465308e-07,1.2396944883029335e-07,1.2048263307032862e-07,1.1099153239441798e-07,9.804186441945307e-08,8.420653725285861e-08,7.149853469911724e-08,2.10139751288807e-06,2.6265689712090534e-07,4.492144878298632e-09,8.625350988999969e-10,1.9943624529616955e-09,4.860785107752008e-09,3.1137297185068746e-09,2.2690549439374763e-10,2.7114847707073765e-14,5.096087753311352e-15,0
n_600000146.wav,2.1789331878052517e-10,9.287478000926404e-11,3.9891014331108656e-10,1.1915094089338041e-09,2.6716492504359727e-09,5.2011547048753035e-09,9.420262498998372e-09,1.6103170159974057e-08,2.5845862201663693e-08,3.859303157273501e-08,5.3248383175489955e-08,6.776556983485216e-08,7.980041152750457e-08,8.758839672659007e-08,9.05589777960932e-08,8.940385854319797e-08,8.56673722789452e-08,8.114781738781557e-08,7.739482185088368e-08,7.544506887667184e-08,1.8977817717313883e-06,2.3042839814024774e-07,4.218285276635925e-09,1.2349390399180038e-09,5.998207708302061e-09,2.1169935138232177e-08,1.804122895521232e-08,1.314734876523005e-09,5.838686874476764e-14,2.923461425554313e-16,0
