filename,cwt1,cwt2,cwt3,cwt4,cwt5,cwt6,cwt7,cwt8,cwt9,cwt10,cwt11,cwt12,cwt13,cwt14,cwt15,cwt16,cwt17,cwt18,cwt19,cwt20,stft1,stft2,stft3,stft4,stft5,stft6,stft7,stft8,stft9,stft10,label
n_000000722.wav,8.480636325849761e-14,6.041024090809447e-12,5.985332076141833e-11,3.1526053334967956e-10,1.1436452939609326e-09,3.2174961552003936e-09,7.416755166230251e-09,1.4426407777890034e-08,2.426342300562698e-08,3.6227851177491764e-08,4.946969132294573e-08,6.373454059131072e-08,7.966939008273794e-08,9.850436439565093e-08,1.2142482922145163e-07,1.4905613304628264e-07,1.8126598305809468e-07,2.172527650470611e-07,2.5579220475991015e-07,2.955286681346305e-07,3.324325462017441e-06,2.9732933626291924e-07,4.1543493645157525e-10,1.527649361177108e-11,1.162936175309881e-12,6.474618204858201e-14,3.1548343513878967e-15,1.729216570679572e-16,1.0267415087516918e-16,6.94406014314099e-17,0
n_000000044.wav,3.128562557571185e-13,1.909542251827159e-11,1.1795852972095307e-10,3.8513083727732164e-10,9.005545969991142e-10,1.8487385181358248e-09,3.810258447662862e-09,7.878280251559539e-09,1.5586728930633804e-08,2.8665932981104106e-08,4.874862892244783e-08,7.716621026484507e-08,1.1483672894232158e-07,1.6215299635214108e-07,2.1880217631280356e-07,2.8353395430468156e-07,3.5398010418228525e-07,4.266604313629382e-07,4.972624337606384e-07,5.611775460519389e-07,5.453598987514852e-06,4.682778182996117e-07,1.168723784417125e-09,4.9292223081032205e-11,3.4070010267867046e-12,5.291811368442201e-13,8.214667824007343e-14,2.8380486877959982e-15,2.940406054966339e-17,2.353292612202534e-17,0
n_000000050.wav,2.0322770999725843e-13,1.5200268264030144e-11,1.7867954608095072e-10,1.0387064010773452e-09,3.3473375975125246e-09,6.945004745896296e-09,1.1122908268061893e-08,1.6234632876680227e-08,2.4076936496677536e-08,3.7158490736280476e-08,5.7888582844406426e-08,8.798406361743047e-08,1.2829956975913962e-07,1.7897674126517358e-07,2.3953182023484424e-07,3.087188260175635e-07,3.843072578132528e-07,4.629948405045287e-07,5.405935072539419e-07,6.124956923144077e-07,4.868619726039469e-06,4.909013000542473e-07,1.0356150381696239e-09,2.2829075435604196e-11,2.4100851522823596e-12,7.891454417013888e-13,3.55708843456648e-13,1.7063199201565286e-14,3.7999353851706007e-16,2.1941524260318655e-16,0
n_000000736.wav,6.629045590195749e-12,6.334032140537341e-11,2.0154853679207062e-10,4.82260450383359e-10,9.742892949218397e-10,1.8863433440524e-09,3.6641601734845745e-09,6.73635698340602e-09,1.1146130636793847e-08,1.6530942059540774e-08,2.257066419162221e-08,2.94899442860187e-08,3.8169270230805456e-08,4.981207810010287e-08,6.544904035041661e-08,8.55871035769137e-08,1.1012200535357412e-07,1.3845596548421534e-07,1.6970816955747662e-07,2.029364067688895e-07,1.9161400359735126e-06,1.8304582738437603e-07,2.977472046694629e-09,7.674782476208009e-10,2.4843829771192816e-10,8.615098218145434e-11,2.970770157650904e-11,1.4157506547304854e-12,4.3043315938597157e-16,8.481731330106434e-17,0
n_000000078.wav,9.553451708934781e-14,5.715420650153163e-12,3.146741926477457e-11,1.3200216768307267e-10,4.853410781219662e-10,1.5186475506554703e-09,4.103516593505289e-09,9.68185447099683e-09,2.0230276956108148e-08,3.803614684331341e-08,6.53554730114648e-08,1.0407961562996466e-07,1.5548047264598463e-07,2.199959290642531e-07,2.9698653989228717e-07,3.8447436855472396e-07,4.789842392678043e-07,5.75644456666079e-07,6.686326128443221e-07,7.519167244187971e-07,6.039695563231362e-06,4.88850901092519e-07,3.9467668022652447e-10,1.9489219266199953e-11,9.650548589423824e-13,1.0204928265269975e-13,6.2070612491277755e-15,3.157556450582576e-16,6.609179049999102e-17,3.861682432664214e-17,0
n_000000939.wav,4.700210249527268e-13,1.600401890702036e-11,1.3576341087223597e-10,7.315565703393019e-10,2.8142364071481504e-09,8.30190183177156e-09,1.9588067004936086e-08,3.801101446167167e-08,6.214852092711866e-08,8.774827098794915e-08,1.0997628973912792e-07,1.2633411035230996e-07,1.3790699372264544e-07,1.4826572339175603e-07,1.6127247893518624e-07,1.7941746702846197e-07,2.0336261522538183e-07,2.3237810901812713e-07,2.6505048572354425e-07,2.9986143070185593e-07,3.6664314393419772e-06,3.6931990621269506e-07,1.021473128304251e-09,6.577858396861203e-11,1.4393877582896675e-11,2.2071966650216712e-12,1.5541818591639778e-13,2.873384149498369e-15,3.0440281697127452e-18,1.410411393598601e-18,0
n_000000087.wav,1.2153729540947054e-12,6.37424097324677e-11,3.7092263432299196e-10,1.006106944487725e-09,1.872467625061598e-09,3.11397254010079e-09,5.576187710137362e-09,1.0724831567225684e-08,2.0314779351595187e-08,3.604385182054107e-08,5.940446107466659e-08,9.164785721474162e-08,1.3371705951130014e-07,1.8609759150843243e-07,2.4855789176913537e-07,3.1981678656699544e-07,3.972770443983687e-07,4.770002096365502e-07,5.540288214306565e-07,6.230279544644722e-07,4.445722879609093e-06,4.462052061171562e-07,3.659153202661969e-09,1.7764494042449286e-10,1.77498415271371e-11,2.5625519501498717e-12,4.2446802366383207e-13,8.447704375488894e-15,5.564529345683433e-17,3.015433652630614e-17,0
ab_000000058.wav,2.9768688022319043e-10,1.753265635436822e-09,3.462818705819328e-09,4.254172338756018e-09,7.2501045825055815e-09,1.707416494681973e-08,4.1237559020339336e-08,9.297581212923779e-08,1.9374861033714274e-07,3.7370499475416296e-07,6.700078301244633e-07,1.1232669155454401e-06,1.771913437831239e-06,2.6442397133044876e-06,3.748515396432191e-06,5.063108490179056e-06,6.530096698861429e-06,8.056032696671826e-06,9.521648040732781e-06,1.0799159130365438e-05,4.5134387619327754e-05,4.418992830323987e-06,8.077014257423798e-08,2.531207599076879e-08,1.4877705289961796e-08,4.5904160472787225e-09,5.1989985649925075e-09,5.140163295003219e-10,8.274176970749642e-14,1.169131916175427e-16,1
n_000000093.wav,1.3474136829622605e-13,7.257687517193109e-12,4.1952457714468495e-11,1.8120422565999294e-10,6.588319286116027e-10,1.985792104710549e-09,5.11080114615548e-09,1.1508422028043335e-08,2.3133537123015702e-08,4.222489216078727e-08,7.101671959854795e-08,1.1144855618773919e-07,1.6491069077485388e-07,2.3198885455240315e-07,3.121664658440159e-07,4.0352208621328925e-07,5.025539306366284e-07,6.042862070857347e-07,7.027338584572647e-07,7.916662543988568e-07,6.2540425460611004e-06,5.157763780516689e-07,4.916310691882586e-10,2.6103699063417807e-11,1.553246030058797e-12,1.463057783647817e-13,1.2810961669208927e-14,4.845761141793973e-16,2.900732090508132e-16,2.0823689585871234e-16,0
n_000000905.wav,1.0958666067651021e-13,1.076764631210035e-11,1.792826148907365e-10,1.1568425642535384e-09,4.128465655091028e-09,1.0232293780045743e-08,2.0393462807247334e-08,3.489378527416859e-08,5.202536682865788e-08,6.791837911595533e-08,7.885901533274323e-08,8.395774957181844e-08,8.564957063444896e-08,8.80563616586723e-08,9.490433893185734e-08,1.0833487887772752e-07,1.2882160165397595e-07,1.5569703476411735e-07,1.877465932196183e-07,2.2361710326569302e-07,3.1107610993785784e-06,3.429648813835229e-07,7.766880472104276e-10,1.0146565879165514e-11,1.3459137233537422e-12,4.149318963506815e-13,1.6422071493459034e-13,1.9581631441659662e-14,6.044450405012737e-15,3.4716414025617133e-15,0
